200,88,76
195,88,78
195,88,76
190,90,79
190,90,79
185,88,78
185,88,76
180,86,75
180,84,73
175,86,75
175,84,73
170,82,71
170,82,72
165,82,71
165,81,70
160,81,69
160,80,69
155,79,68
155,80,70
150,79,68
150,78,67
145,76,65
145,72,62
140,71,62
140,71,60
135,69,60
135,66,56
130,67,56
130,65,57
125,64,54
125,61,53
120,62,52
120,61,52
115,59,50
115,58,50
110,58,49
110,56,49
105,56,47
105,52,45
100,49,42
100,45,38
105,44,37
105,45,38
110,47,41
110,49,40
115,49,42
115,50,42
120,52,44
120,55,48
125,57,48
125,58,48
130,58,51
130,62,53
135,64,54
135,64,56
140,68,58
140,70,60
145,72,61
145,72,62
150,72,61
150,72,62
155,74,64
155,76,65
160,76,65
160,78,67
165,79,69
165,81,69
170,80,71
170,84,72
175,84,74
175,87,76
180,89,76
180,89,79
185,89,79
185,88,78
190,90,78
190,90,80
195,92,80
195,91,82
